name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Sun Is Up Forever,Joesef,0.69,0.83,7.0,-8.067,0.0,0.0697,0.108,1.17e-05,0.0843,0.801,99.985,audio_features,1vFOdLRFuiz5K2pZ7UggOJ,spotify:track:1vFOdLRFuiz5K2pZ7UggOJ,https://api.spotify.com/v1/tracks/1vFOdLRFuiz5K2pZ7UggOJ,https://api.spotify.com/v1/audio-analysis/1vFOdLRFuiz5K2pZ7UggOJ,223414.0,4.0
SUNRISE,MICHELLE,0.679,0.762,10.0,-4.253,0.0,0.0316,0.00469,0.23,0.0446,0.511,105.407,audio_features,0L3XCv9i9IHs8cJEVhsJ3J,spotify:track:0L3XCv9i9IHs8cJEVhsJ3J,https://api.spotify.com/v1/tracks/0L3XCv9i9IHs8cJEVhsJ3J,https://api.spotify.com/v1/audio-analysis/0L3XCv9i9IHs8cJEVhsJ3J,357936.0,4.0
Cotton Candy Lemonade,Blu DeTiger,0.582,0.521,1.0,-8.823,0.0,0.0352,0.401,0.000107,0.357,0.408,99.034,audio_features,23bwujVYKeGdbcLd2LQxVo,spotify:track:23bwujVYKeGdbcLd2LQxVo,https://api.spotify.com/v1/tracks/23bwujVYKeGdbcLd2LQxVo,https://api.spotify.com/v1/audio-analysis/23bwujVYKeGdbcLd2LQxVo,270067.0,4.0
Little Things,Jorja Smith,0.761,0.668,11.0,-7.698,1.0,0.123,0.0939,1.92e-06,0.0935,0.611,93.195,audio_features,2d9UdLMMe80RNfuQcGmuIe,spotify:track:2d9UdLMMe80RNfuQcGmuIe,https://api.spotify.com/v1/tracks/2d9UdLMMe80RNfuQcGmuIe,https://api.spotify.com/v1/audio-analysis/2d9UdLMMe80RNfuQcGmuIe,199089.0,4.0
Cloudy Day,Tones And I,0.785,0.435,0.0,-9.115,1.0,0.147,0.223,0.00232,0.124,0.633,138.934,audio_features,6AcFiVsHvDtat3rmHNK2Nf,spotify:track:6AcFiVsHvDtat3rmHNK2Nf,https://api.spotify.com/v1/tracks/6AcFiVsHvDtat3rmHNK2Nf,https://api.spotify.com/v1/audio-analysis/6AcFiVsHvDtat3rmHNK2Nf,193934.0,4.0
Baxter (these are my friends),"Fred again.., Baxter Dury",0.869,0.555,5.0,-5.984,1.0,0.0454,0.137,0.0,0.0746,0.738,112.003,audio_features,1qYKWcEOrh2tM8PlgIm8K1,spotify:track:1qYKWcEOrh2tM8PlgIm8K1,https://api.spotify.com/v1/tracks/1qYKWcEOrh2tM8PlgIm8K1,https://api.spotify.com/v1/audio-analysis/1qYKWcEOrh2tM8PlgIm8K1,158948.0,4.0
If It Feels Good (Then It Must Be),Leon Bridges,0.569,0.536,1.0,-6.137,1.0,0.0819,0.554,0.0,0.0655,0.656,173.695,audio_features,2gXVf2h4yVftxLwQx6Z4Qx,spotify:track:2gXVf2h4yVftxLwQx6Z4Qx,https://api.spotify.com/v1/tracks/2gXVf2h4yVftxLwQx6Z4Qx,https://api.spotify.com/v1/audio-analysis/2gXVf2h4yVftxLwQx6Z4Qx,209833.0,4.0
"Collide - From ""Queen & Slim: The Soundtrack""","Tiana Major9, EARTHGANG",0.592,0.867,5.0,-3.329,1.0,0.0325,0.0135,0.00463,0.0923,0.836,93.984,audio_features,6YDydLu0kWJXAuU6WYcbH2,spotify:track:6YDydLu0kWJXAuU6WYcbH2,https://api.spotify.com/v1/tracks/6YDydLu0kWJXAuU6WYcbH2,https://api.spotify.com/v1/audio-analysis/6YDydLu0kWJXAuU6WYcbH2,166600.0,4.0
Blackoak,Maribou State,0.579,0.806,1.0,-5.7,1.0,0.0323,0.214,0.000535,0.0917,0.789,174.057,audio_features,49skdn8Truaufvcz8BXmtT,spotify:track:49skdn8Truaufvcz8BXmtT,https://api.spotify.com/v1/tracks/49skdn8Truaufvcz8BXmtT,https://api.spotify.com/v1/audio-analysis/49skdn8Truaufvcz8BXmtT,174307.0,4.0
Church (feat. EARTHGANG),"Samm Henshaw, EARTHGANG",0.775,0.742,1.0,-5.226,0.0,0.101,0.0779,2.73e-05,0.401,0.514,121.89,audio_features,3FSOP0KUsO3hv96E92CHsp,spotify:track:3FSOP0KUsO3hv96E92CHsp,https://api.spotify.com/v1/tracks/3FSOP0KUsO3hv96E92CHsp,https://api.spotify.com/v1/audio-analysis/3FSOP0KUsO3hv96E92CHsp,200199.0,4.0
