name,artist,features
Close To You,Dayglow,"{'danceability': 0.876, 'energy': 0.646, 'key': 6, 'loudness': -5.756, 'mode': 1, 'speechiness': 0.0435, 'acousticness': 0.422, 'instrumentalness': 0.00195, 'liveness': 0.0705, 'valence': 0.832, 'tempo': 140.032, 'type': 'audio_features', 'id': '50PyquzZ9BaBwLZZd1AuuV', 'uri': 'spotify:track:50PyquzZ9BaBwLZZd1AuuV', 'track_href': 'https://api.spotify.com/v1/tracks/50PyquzZ9BaBwLZZd1AuuV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/50PyquzZ9BaBwLZZd1AuuV', 'duration_ms': 194693, 'time_signature': 4}"
Dreams - 2004 Remaster,Fleetwood Mac,"{'danceability': 0.828, 'energy': 0.492, 'key': 0, 'loudness': -9.744, 'mode': 1, 'speechiness': 0.0276, 'acousticness': 0.0644, 'instrumentalness': 0.00428, 'liveness': 0.128, 'valence': 0.789, 'tempo': 120.151, 'type': 'audio_features', 'id': '0ofHAoxe9vBkTCp2UQIavz', 'uri': 'spotify:track:0ofHAoxe9vBkTCp2UQIavz', 'track_href': 'https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz', 'duration_ms': 257800, 'time_signature': 4}"
Daylight,Harry Styles,"{'danceability': 0.686, 'energy': 0.445, 'key': 0, 'loudness': -7.189, 'mode': 1, 'speechiness': 0.0398, 'acousticness': 0.484, 'instrumentalness': 0.00144, 'liveness': 0.175, 'valence': 0.626, 'tempo': 145.5, 'type': 'audio_features', 'id': '51Zw1cKDgkad0CXv23HCMU', 'uri': 'spotify:track:51Zw1cKDgkad0CXv23HCMU', 'track_href': 'https://api.spotify.com/v1/tracks/51Zw1cKDgkad0CXv23HCMU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/51Zw1cKDgkad0CXv23HCMU', 'duration_ms': 164533, 'time_signature': 3}"
pink dress,Humble the Great,"{'danceability': 0.828, 'energy': 0.425, 'key': 6, 'loudness': -7.903, 'mode': 0, 'speechiness': 0.0534, 'acousticness': 0.645, 'instrumentalness': 0.000104, 'liveness': 0.186, 'valence': 0.217, 'tempo': 112.028, 'type': 'audio_features', 'id': '2MBuWN9LjsJSKyGlWSJOXo', 'uri': 'spotify:track:2MBuWN9LjsJSKyGlWSJOXo', 'track_href': 'https://api.spotify.com/v1/tracks/2MBuWN9LjsJSKyGlWSJOXo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2MBuWN9LjsJSKyGlWSJOXo', 'duration_ms': 173330, 'time_signature': 4}"
Coffee Shop,flowerovlove,"{'danceability': 0.831, 'energy': 0.601, 'key': 4, 'loudness': -5.303, 'mode': 0, 'speechiness': 0.0341, 'acousticness': 0.605, 'instrumentalness': 0.00517, 'liveness': 0.102, 'valence': 0.821, 'tempo': 105.017, 'type': 'audio_features', 'id': '40tZTQ47XEMg7KT61xAEOI', 'uri': 'spotify:track:40tZTQ47XEMg7KT61xAEOI', 'track_href': 'https://api.spotify.com/v1/tracks/40tZTQ47XEMg7KT61xAEOI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/40tZTQ47XEMg7KT61xAEOI', 'duration_ms': 124080, 'time_signature': 4}"
Keep Moving,Jungle,"{'danceability': 0.723, 'energy': 0.604, 'key': 10, 'loudness': -6.254, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.179, 'instrumentalness': 0.000463, 'liveness': 0.0939, 'valence': 0.562, 'tempo': 111.497, 'type': 'audio_features', 'id': '4rf0IVQDFjr27T4sgah5Pf', 'uri': 'spotify:track:4rf0IVQDFjr27T4sgah5Pf', 'track_href': 'https://api.spotify.com/v1/tracks/4rf0IVQDFjr27T4sgah5Pf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rf0IVQDFjr27T4sgah5Pf', 'duration_ms': 240880, 'time_signature': 4}"
Come With Me,"Surfaces, salem ilese","{'danceability': 0.876, 'energy': 0.565, 'key': 11, 'loudness': -6.569, 'mode': 0, 'speechiness': 0.0333, 'acousticness': 0.16, 'instrumentalness': 0.0284, 'liveness': 0.114, 'valence': 0.931, 'tempo': 111.936, 'type': 'audio_features', 'id': '3curUGAfGYvGcBbE1k5Fyy', 'uri': 'spotify:track:3curUGAfGYvGcBbE1k5Fyy', 'track_href': 'https://api.spotify.com/v1/tracks/3curUGAfGYvGcBbE1k5Fyy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3curUGAfGYvGcBbE1k5Fyy', 'duration_ms': 209732, 'time_signature': 4}"
Yesterday,Loyle Carner,"{'danceability': 0.428, 'energy': 0.98, 'key': 11, 'loudness': -2.975, 'mode': 0, 'speechiness': 0.443, 'acousticness': 0.0734, 'instrumentalness': 0, 'liveness': 0.127, 'valence': 0.423, 'tempo': 92.035, 'type': 'audio_features', 'id': '0pRyOQjr12h9RBEFmhbTQc', 'uri': 'spotify:track:0pRyOQjr12h9RBEFmhbTQc', 'track_href': 'https://api.spotify.com/v1/tracks/0pRyOQjr12h9RBEFmhbTQc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0pRyOQjr12h9RBEFmhbTQc', 'duration_ms': 168654, 'time_signature': 4}"
Woman,"Little Simz, Cleo Sol","{'danceability': 0.535, 'energy': 0.649, 'key': 1, 'loudness': -7.638, 'mode': 1, 'speechiness': 0.205, 'acousticness': 0.71, 'instrumentalness': 0.000236, 'liveness': 0.0973, 'valence': 0.796, 'tempo': 86.761, 'type': 'audio_features', 'id': '60GM1mA58L7SYD1bLQXBho', 'uri': 'spotify:track:60GM1mA58L7SYD1bLQXBho', 'track_href': 'https://api.spotify.com/v1/tracks/60GM1mA58L7SYD1bLQXBho', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/60GM1mA58L7SYD1bLQXBho', 'duration_ms': 269413, 'time_signature': 4}"
Sunny,Biig Piig,"{'danceability': 0.722, 'energy': 0.53, 'key': 9, 'loudness': -10.673, 'mode': 0, 'speechiness': 0.118, 'acousticness': 0.0846, 'instrumentalness': 0.822, 'liveness': 0.0778, 'valence': 0.846, 'tempo': 103.961, 'type': 'audio_features', 'id': '42AsgO0005lineLVc1aSOL', 'uri': 'spotify:track:42AsgO0005lineLVc1aSOL', 'track_href': 'https://api.spotify.com/v1/tracks/42AsgO0005lineLVc1aSOL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/42AsgO0005lineLVc1aSOL', 'duration_ms': 157333, 'time_signature': 4}"
