name,artist,features
HARLEY QUINN,"Fuerza Regida, Marshmello","{'danceability': 0.815, 'energy': 0.741, 'key': 1, 'loudness': -6.04, 'mode': 1, 'speechiness': 0.0569, 'acousticness': 0.0277, 'instrumentalness': 0.0183, 'liveness': 0.219, 'valence': 0.591, 'tempo': 125.031, 'type': 'audio_features', 'id': '6CvTEtGagmzQvkUzzyKR9k', 'uri': 'spotify:track:6CvTEtGagmzQvkUzzyKR9k', 'track_href': 'https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k', 'duration_ms': 143327, 'time_signature': 4}"
greedy,Tate McRae,"{'danceability': 0.75, 'energy': 0.733, 'key': 6, 'loudness': -3.18, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.256, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.844, 'tempo': 111.018, 'type': 'audio_features', 'id': '3rUGC1vUpkDG9CZFHMur1t', 'uri': 'spotify:track:3rUGC1vUpkDG9CZFHMur1t', 'track_href': 'https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t', 'duration_ms': 131872, 'time_signature': 1}"
Holly Jolly Christmas,Michael Bublé,"{'danceability': 0.647, 'energy': 0.465, 'key': 7, 'loudness': -8.308, 'mode': 1, 'speechiness': 0.0428, 'acousticness': 0.865, 'instrumentalness': 0, 'liveness': 0.0882, 'valence': 0.699, 'tempo': 151.251, 'type': 'audio_features', 'id': '6tjituizSxwSmBB5vtgHZE', 'uri': 'spotify:track:6tjituizSxwSmBB5vtgHZE', 'track_href': 'https://api.spotify.com/v1/tracks/6tjituizSxwSmBB5vtgHZE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6tjituizSxwSmBB5vtgHZE', 'duration_ms': 119787, 'time_signature': 4}"
fukumean,Gunna,"{'danceability': 0.847, 'energy': 0.622, 'key': 1, 'loudness': -6.747, 'mode': 0, 'speechiness': 0.0903, 'acousticness': 0.119, 'instrumentalness': 0, 'liveness': 0.285, 'valence': 0.22, 'tempo': 130.001, 'type': 'audio_features', 'id': '4rXLjWdF2ZZpXCVTfWcshS', 'uri': 'spotify:track:4rXLjWdF2ZZpXCVTfWcshS', 'track_href': 'https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS', 'duration_ms': 125040, 'time_signature': 4}"
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,"{'danceability': 0.451, 'energy': 0.24, 'key': 1, 'loudness': -14.014, 'mode': 1, 'speechiness': 0.0351, 'acousticness': 0.912, 'instrumentalness': 2.45e-06, 'liveness': 0.175, 'valence': 0.701, 'tempo': 134.009, 'type': 'audio_features', 'id': '2uFaJJtFpPDc5Pa95XzTvg', 'uri': 'spotify:track:2uFaJJtFpPDc5Pa95XzTvg', 'track_href': 'https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg', 'duration_ms': 117147, 'time_signature': 4}"
Strangers,Kenya Grace,"{'danceability': 0.628, 'energy': 0.523, 'key': 11, 'loudness': -8.307, 'mode': 0, 'speechiness': 0.0946, 'acousticness': 0.701, 'instrumentalness': 0.00274, 'liveness': 0.219, 'valence': 0.416, 'tempo': 169.982, 'type': 'audio_features', 'id': '5mjYQaktjmjcMKcUIcqz4s', 'uri': 'spotify:track:5mjYQaktjmjcMKcUIcqz4s', 'track_href': 'https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s', 'duration_ms': 172965, 'time_signature': 4}"
Stick Season,Noah Kahan,"{'danceability': 0.662, 'energy': 0.488, 'key': 9, 'loudness': -6.894, 'mode': 1, 'speechiness': 0.0682, 'acousticness': 0.782, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.817, 'tempo': 117.913, 'type': 'audio_features', 'id': '0mflMxspEfB0VbI1kyLiAv', 'uri': 'spotify:track:0mflMxspEfB0VbI1kyLiAv', 'track_href': 'https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv', 'duration_ms': 182347, 'time_signature': 4}"
Según Quién,"Maluma, Carin Leon","{'danceability': 0.909, 'energy': 0.762, 'key': 9, 'loudness': -3.974, 'mode': 1, 'speechiness': 0.0643, 'acousticness': 0.434, 'instrumentalness': 0, 'liveness': 0.0856, 'valence': 0.843, 'tempo': 101.987, 'type': 'audio_features', 'id': '4bw8mcDUSRWfQo63ZTYRnU', 'uri': 'spotify:track:4bw8mcDUSRWfQo63ZTYRnU', 'track_href': 'https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU', 'duration_ms': 142335, 'time_signature': 3}"
vampire,Olivia Rodrigo,"{'danceability': 0.511, 'energy': 0.532, 'key': 5, 'loudness': -5.745, 'mode': 1, 'speechiness': 0.0578, 'acousticness': 0.177, 'instrumentalness': 0, 'liveness': 0.291, 'valence': 0.35, 'tempo': 138.005, 'type': 'audio_features', 'id': '1kuGVB7EU95pJObxwvfwKS', 'uri': 'spotify:track:1kuGVB7EU95pJObxwvfwKS', 'track_href': 'https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS', 'duration_ms': 219724, 'time_signature': 4}"
Jingle Bell Rock,Bobby Helms,"{'danceability': 0.754, 'energy': 0.424, 'key': 2, 'loudness': -8.463, 'mode': 1, 'speechiness': 0.0363, 'acousticness': 0.643, 'instrumentalness': 0, 'liveness': 0.0652, 'valence': 0.806, 'tempo': 119.705, 'type': 'audio_features', 'id': '7vQbuQcyTflfCIOu3Uzzya', 'uri': 'spotify:track:7vQbuQcyTflfCIOu3Uzzya', 'track_href': 'https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya', 'duration_ms': 130973, 'time_signature': 4}"
